	f0	f1	f2	f3	f4	f5	f6	f7	f8	f9	f10	f11	f12	GATA-1	GATA-2	PU.1	SCL	Bra	Flk-1	BMP4	Runx1	VE-cadherin	c-myb	NF+E2	c-kit	EKLF	EpoR	Fli-1	tr28	tr29	tr30	tr31	tr32	tr33
f0	0	-1	-2	-1	-1	-2	-1	-2	-1	-2	-1	-2	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f1	0	1	-2	-1	-1	-2	-1	-2	-1	-2	-1	-2	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-2	0	0	0	0	0
f2	-2	-1	0	-1	-1	-2	-1	-2	-1	-2	-1	-2	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
f3	-2	-1	0	1	-1	-2	-1	-2	-1	-2	-1	-2	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-2	0	0	0	0
f4	-2	-1	-2	-1	1	-2	-1	-2	-1	-2	-1	-2	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	-2	0	0	0
f5	-2	-1	-2	-1	-1	0	-1	-2	-1	-2	-1	-2	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
f6	-2	-1	-2	-1	-1	0	1	-2	-1	-2	-1	-2	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-2	0	0
f7	-2	-1	-2	-1	-1	-2	-1	0	-1	-2	-1	-2	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
f8	-2	-1	-2	-1	-1	-2	-1	0	1	-2	-1	-2	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-2	0
f9	-2	-1	-2	-1	-1	-2	-1	-2	-1	0	-1	-2	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
f10	-2	-1	-2	-1	-1	-2	-1	-2	-1	0	1	-2	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-2
