	f0	f1	f2	f3	f4	f5	f6	f7	f8	f9	f10	f11	lin-39	cog-1	egl-38	lin-11	lin-29	nhr-67	zmp-1	ceh-2	egl-26	dhs-31	cdh-3	egl-17	unc-53	pepm-1	pax-2	lin-3	syg-2	sqv-4	bam-2	F47B8.6	B0034.1	C55C3.5	T04B2.6	tr35
f0	-1	-2	-2	-2	-2	-2	-2	-2	-2	-2	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f1	1	0	-2	-2	-2	-2	-2	-2	-2	-2	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f2	-1	0	0	-2	-2	-2	-2	-2	-2	-2	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-2
f3	-1	-2	-2	0	-2	-2	-2	-2	-2	-2	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
f4	-1	-2	0	-2	0	-2	-2	-2	-2	-2	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f5	-1	-2	-2	0	-2	0	-2	-2	-2	-2	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f6	-1	-2	-2	-2	0	-2	0	-2	-2	-2	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f7	-1	-2	-2	-2	-2	0	-2	0	-2	-2	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f8	-1	-2	-2	-2	-2	-2	0	-2	0	-2	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f9	-1	-2	-2	-2	-2	-2	-2	0	-2	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f10	-1	-2	-2	-2	-2	-2	-2	-2	0	-2	1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f11	-1	-2	-2	-2	-2	-2	-2	-2	-2	0	-1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lin-39	1	2	2	2	0	0	-2	-2	-2	-2	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cog-1	-1	0	2	2	2	2	2	2	2	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
egl-38	-1	-2	-2	-2	-2	0	-2	2	-2	2	-1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lin-11	1	2	0	0	-2	-2	-2	-2	-2	-2	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lin-29	1	2	2	2	2	2	2	2	2	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
nhr-67	-1	-2	-2	-2	-2	-2	-2	-2	-2	-2	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
zmp-1	-1	-2	-2	-2	-2	-2	0	-2	2	-2	1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
